2021-05-07 21:11:21, SHIFT, Shift created! 
2021-05-07 21:11:21, SHIFT, Shift created! 
2021-05-07 21:11:21, LOAN, Loan created! 
2021-05-07 21:11:21, BACKUP, Database backup created! 
2021-05-07 21:11:21, SHIFT, Shift created! 
2021-05-08 21:29:40, SHIFT, Shift created! 
2021-05-08 21:29:40, LOAN, Loan created! 
2021-05-08 21:29:40, SHIFT, Shift created! 
2021-05-10 14:49:48, SHIFT, Shift created! 
2021-05-10 14:49:48, SHIFT, Shift created! 
2021-05-12 11:31:08, LOAN, Loan created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, LOAN, Loan created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, LOAN, Loan created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-12 11:31:08, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, LOAN, Loan created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 10:25:20, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, LOAN, Loan created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, LOAN, Loan created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, LOAN, Loan created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-17 12:25:40, SHIFT, Shift created! 
2021-05-19 13:09:44, SHIFT, Shift created! 
2021-05-19 13:09:44, SHIFT, Shift created! 
2021-05-19 13:09:44, SHIFT, Shift created! 
2021-05-19 13:09:44, LOAN, Loan created! 
2021-05-19 13:09:44, SHIFT, Shift created! 
2021-05-19 13:09:44, SHIFT, Shift created! 
2021-05-19 13:09:44, SHIFT, Shift created! 
2021-05-26 13:48:54, SHIFT, Shift created! 
2021-05-26 13:48:54, SHIFT, Shift created! 
