2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, BACKUP, Database backup created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, BACKUP, Database backup created! 
2019-10-07 15:48:57, LEAVE, Leave credit created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, BACKUP, Database backup created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, LOAN, Loan created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-07 15:48:57, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, LEAVE, Leave credit created! 
2019-10-10 10:35:56, BACKUP, Database backup created! 
2019-10-10 10:35:56, LOAN, Loan created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, LOAN, Loan created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, LOAN, Loan created! 
2019-10-10 10:35:56, BACKUP, Database backup created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, LOAN, Loan created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-10 10:35:56, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, LOAN, Loan created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, BACKUP, Database backup created! 
2019-10-11 15:16:15, LEAVE, Leave credit created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
2019-10-11 15:16:15, SHIFT, Shift created! 
